Code,Copilot F1
No code,0.4065040650406504
"The lathe chuck was tightened too much, so the user loosened it with pliers",0.75
"Only 18 V drills were displayed, which are too big to use with one hand",0.8717948717948718
"Only size large disposable gloves were available, so the user struggled with the epoxy",0.8727272727272727
The miter saw is a bit uncomfortable to use since it’s on a tall table,0.9166666666666666
"The user had to hunt down a clamp, since people forgot to put them away",0.7547169811320755
"The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.8867924528301887
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.8735632183908046
"wood scraps were too small to be useful to anyone, so they went in the trash",0.8405797101449275
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.6666666666666666
"the trash bag was ripped, so the user took the trash out and replaced the bag",0.96
"Epoxy needs to cure for 24 hours, so the user went home for the day",0.6666666666666666
