Code,Copilot F1
No code,0.4642857142857143
"The lathe chuck was tightened too much, so the user loosened it with pliers",0.8095238095238095
"Only 18 V drills were displayed, which are too big to use with one hand",0.8717948717948718
"Only size large disposable gloves were available, so the user struggled with the epoxy",0.9836065573770492
The miter saw is a bit uncomfortable to use since it’s on a tall table,0.9411764705882353
"The user had to hunt down a clamp, since people forgot to put them away",0.8387096774193549
"The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.8598130841121495
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.9111111111111111
"wood scraps were too small to be useful to anyone, so they went in the trash",0.8387096774193549
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.918918918918919
"the trash bag was ripped, so the user took the trash out and replaced the bag",0.9038461538461539
"Epoxy needs to cure for 24 hours, so the user went home for the day",0.7142857142857143
