Code,Copilot F1
No code,0.3333333333333333
"The lathe chuck was tightened too much, so the user loosened it with pliers",0.711864406779661
"Only 18 V drills were displayed, which are too big to use with one hand",0.6842105263157895
"Only size large disposable gloves were available, so the user struggled with the epoxy",0.90625
The miter saw is a bit uncomfortable to use since it’s on a tall table,0.8888888888888888
"The user had to hunt down a clamp, since people forgot to put them away",0.7346938775510204
"The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.8148148148148148
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.7894736842105263
"wood scraps were too small to be useful to anyone, so they went in the trash",0.8888888888888888
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.7555555555555555
"the trash bag was ripped, so the user took the trash out and replaced the bag",0.9320388349514563
"Epoxy needs to cure for 24 hours, so the user went home for the day",0.875
