Code,Copilot F1
No code,0.348993288590604
"The lathe chuck was tightened too much, so the user loosened it with pliers",0.8372093023255814
"Only 18 V drills were displayed, which are too big to use with one hand",0.8108108108108109
"Only size large disposable gloves were available, so the user struggled with the epoxy",0.75
The miter saw is a bit uncomfortable to use since it’s on a tall table,0.7868852459016393
"The user had to hunt down a clamp, since people forgot to put them away",0.6666666666666666
"The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.8627450980392157
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.8604651162790697
"wood scraps were too small to be useful to anyone, so they went in the trash",0.8656716417910447
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.6470588235294118
"the trash bag was ripped, so the user took the trash out and replaced the bag",0.8958333333333334
"Epoxy needs to cure for 24 hours, so the user went home for the day",0.6666666666666666
