Code,Copilot F1
No code,0.21333333333333335
"The lathe chuck was tightened too much, so the user loosened it with pliers",0.7659574468085106
"Only 18 V drills were displayed, which are too big to use with one hand",0.5333333333333333
"Only size large disposable gloves were available, so the user struggled with the epoxy",0.7
The miter saw is a bit uncomfortable to use since it’s on a tall table,0.8648648648648649
"The user had to hunt down a clamp, since people forgot to put them away",0.7457627118644068
"The lathe was covered in sawdust and wood chips, so the user cleaned it up",0.7857142857142857
"the user bumped the emergency stop button of the lathe, as someone squeezed behind them",0.8148148148148148
"wood scraps were too small to be useful to anyone, so they went in the trash",0.8461538461538461
the user dug through the unlabeled cabinets to find a smaller 12 V hand drill,0.7555555555555555
"the trash bag was ripped, so the user took the trash out and replaced the bag",0.8867924528301887
"Epoxy needs to cure for 24 hours, so the user went home for the day",0.875
