min,max,kappa,f1,percentage_below_min,rows_below_min
0.95,1.0,,0.0,100.0,233
0.9,0.95,,0.0,100.0,233
0.85,0.9,,0.0,100.0,233
0.8,0.85,,0.0,100.0,233
0.75,0.8,,0.011363636363636364,99.57081545064378,232
0.7,0.75,,0.0,99.57081545064378,232
0.65,0.7,,0.0,99.57081545064378,232
0.6,0.65,0.0,0.0,99.14163090128756,231
0.55,0.6,0.0,0.0,98.71244635193133,230
0.5,0.55,0.33333333333333337,0.011363636363636364,96.99570815450643,226
0.45,0.5,0.19999999999999996,0.011363636363636364,95.27896995708154,222
0.4,0.45,0.16806722689075615,0.022727272727272728,90.55793991416309,211
0.35,0.4,-2.220446049250313e-16,0.0,87.55364806866953,204
0.3,0.35,0.08904109589041098,0.022727272727272728,78.54077253218884,183
0.25,0.3,0.342504743833017,0.07132034632034633,64.37768240343348,150
0.2,0.25,0.027552674230145846,0.013257575757575756,42.91845493562232,100
0.15,0.2,0.007485029940119792,0.005681818181818182,20.600858369098713,48
0.1,0.15,-0.009892827699917506,0.0,5.579399141630901,13
0.05,0.1,0.0487804878048782,0.007575757575757575,0.0,0
0.0,0.05,,0.0,0.0,0
